User Input,Mapped Function,Model Output,Latency (s)
Load EEG data from file,load data,"[{'text': 'Sure, you can load EEG data from a file. Please provide the file path or select the file from the available files.'}]",1.03
I want to load data ,load data,[{'command': 'Import Data'}],0.15
Can you load data?,load data,[{'command': 'Import Data'}],0.10
Help me load data,load data,[{'command': 'Import Data'}],0.08
import data for me,load data,[{'command': 'Import Data'}],0.11
I want to import data,load data,[{'command': 'Import Data'}],0.18
data load,load data,[{'command': 'Import Data'}],0.08
load data,load data,[{'command': 'Import Data'}],0.07
import data,load data,[{'command': 'Import Data'}],0.09
load new data for analysis,load data,[{'command': 'Import Data'}],0.09
filter the data,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 50}}","[{'command': 'Dataset splitting', 'parameters': {'cross_validation': 'False', 'testing_type': 'By Session', 'training_type': 'full data', 'validation_type': 'By Session'}}]",1.37
apply filter to the data,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 50}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}, {'command': 'Resample', 'parameters': {'frequency': 125}}, {'command': 'Normalize', 'parameters': {'method': 'z score'}}]",2.12
apply band-pass filter to the data,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 50}}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}]",0.89
filter the data within 5hz to 40hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 5, ""h_freq"": 40}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40, 'l_freq': 5}}]",1.22
apply filter with low cutoff frequency of 5,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 5, ""h_freq"": 50}}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}]",0.70
apply filter with high cutoff of 45hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 45}}","[{'command': 'Filtering', 'parameters': {'h_freq': 45, 'l_freq': 45}}]",1.16
Apply a low-pass filter at 40 Hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 40}}","[{'command': 'Filtering', 'parameters': {'l_freq': 40.0}}]",1.03
Apply a high-pass filter at 0.5 Hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 45}}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}]",0.80
Perform a bandpass filter from 0.1 Hz to 45 Hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.1, ""h_freq"": 45}}","[{'command': 'Filtering', 'parameters': {'h_freq': 45, 'l_freq': 0.1}}]",1.69
Apply a bandpass filter from 1 to 40 Hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 40}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 1}}]",1.36
Normalize the data,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'command': 'Normalize', 'parameters': {'method': 'min max'}}]",0.93
