User Input,Mapped Function,Model Output,Latency (s)
Load EEG data from file,load data,"[{'command': 'Load Data', 'parameters': {'path': 'path/to/file.csv', 'save_path': 'new_data.csv'}}]",2.42
I want to load data ,load data,[{'command': 'Import Data'}],0.13
Can you load data?,load data,[{'command': 'Import Data'}],0.09
Help me load data,load data,[{'command': 'Import Data'}],0.08
import data for me,load data,[{'command': 'Import Data'}],0.10
I want to import data,load data,[{'command': 'Import Data'}],0.17
data load,load data,[{'command': 'Import Data'}],0.08
load data,load data,[{'command': 'Import Data'}],0.06
import data,load data,[{'command': 'Import Data'}],0.12
load new data for analysis,load data,[{'command': 'Import Data'}],0.09
filter the data,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 50}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}]",1.22
apply filter to the data,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 50}}","[{'command': 'Resample', 'parameters': {'frequency': 128}}]",5.80
apply band-pass filter to the data,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 50}}","[{'command': 'Filtering', 'parameters': {'h_freq': 45, 'l_freq': 0.5}}]",2.46
filter the data within 5hz to 40hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 5, ""h_freq"": 40}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40, 'l_freq': 5}}]",1.12
apply filter with low cutoff frequency of 5,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 5, ""h_freq"": 50}}","[{'command': 'Filtering', 'parameters': {'h_freq': 45, 'l_freq': 5}}]",1.12
apply filter with high cutoff of 45hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 45}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40, 'l_freq': 1}}]",2.68
Apply a low-pass filter at 40 Hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 40}}","[[{'command': 'Resample', 'parameters': {'frequency': 128}}], [{'command': 'Filtering', 'parameters': {'h_freq': 40, 'l_freq': 1}}]]",4.75
Apply a high-pass filter at 0.5 Hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 45}}","[{'command': 'Filtering', 'parameters': {'h_freq': 0.5, 'l_freq': 0.5}}]",1.25
Perform a bandpass filter from 0.1 Hz to 45 Hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.1, ""h_freq"": 45}}","[{'command': 'Filtering', 'parameters': {'h_freq': 45, 'l_freq': 0.1}}]",1.13
Apply a bandpass filter from 1 to 40 Hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 40}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40, 'l_freq': 1}}]",1.12
Normalize the data,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'command': 'Normalize', 'parameters': {'method': 'z score'}}]",0.95
normalize the data with z-score method,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'command': 'Normalize', 'parameters': {'method': 'z score'}}]",0.84
normalize the data with min max method,"{""command"": ""Normalize"", ""parameters"": {""method"": ""min max""}}","[{'command': 'Normalize', 'parameters': {'method': 'min max'}}]",0.86
apply normalization to the data,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'command': 'Normalize', 'parameters': {'method': 'z score'}}]",1.30
can you normalize the data?,"{""command"": ""Normalize"", ""parameters"": {""method"": ""min max""}}","[{'command': 'Normalize', 'parameters': {'method': 'z score'}}]",0.85
apply normalization to the data,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'command': 'Normalize', 'parameters': {'method': 'z score'}}]",1.37
Normalize the data using z-score,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'command': 'Normalize', 'parameters': {'method': 'z score'}}]",0.84
Perform min-max normalization,"{""command"": ""Normalize"", ""parameters"": {""method"": ""min max""}}","[{'command': 'Normalize', 'parameters': {'method': 'min max'}}]",0.83
normalize the data please,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'command': 'Normalize', 'parameters': {'method': 'z score'}}]",0.88
I want to normalize the data,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'command': 'Normalize', 'parameters': {'method': 'z score'}}]",0.82
resample the data to 125hz,"{""command"": ""Resample"", ""parameters"": {""frequency"": 125}}","[{'command': 'Resample', 'parameters': {'frequency': 125}}]",0.92
resample the data to 250hz,"{""command"": ""Resample"", ""parameters"": {""frequency"": 250}}","[{'command': 'Resample', 'parameters': {'frequency': 250}}]",1.05
Downsample the data to 128 Hz,"{""command"": ""Resample"", ""parameters"": {""frequency"": 128}}","[{'command': 'Resample', 'parameters': {'frequency': 128}}]",0.93
resample the data to 125,"{""command"": ""Resample"", ""parameters"": {""frequency"": 125}}","[{'command': 'Resample', 'parameters': {'frequency': 125}}]",0.89
resample the data to 250,"{""command"": ""Resample"", ""parameters"": {""frequency"": 250}}","[{'command': 'Resample', 'parameters': {'frequency': 250}}]",0.88
Downsample the data to 100,"{""command"": ""Resample"", ""parameters"": {""frequency"": 100}}",[],13.16
apply resampling to 128,"{""command"": ""Resample"", ""parameters"": {""frequency"": 128}}","[{'text': '128 is the recommended sampling rate for this dataset, which is the same as the original sampling rate.\n\nThis is just a sample of how the software can assist with EEG data analysis. Please refer to the documentation and examples for more detailed information and functionalities.'}]",0.59
resample the data to 500hz please,"{""command"": ""Resample"", ""parameters"": {""frequency"": 500}}","[{'command': 'Resample', 'parameters': {'frequency': 500}}]",0.92
I want to resample the data to 256hz,"{""command"": ""Resample"", ""parameters"": {""frequency"": 256}}","[{'command': 'Resample', 'parameters': {'frequency': 256}}]",0.87
can you downsample the data to 200hz?,"{""command"": ""Resample"", ""parameters"": {""frequency"": 200}}","[{'command': 'Resample', 'parameters': {'frequency': 200}}]",2.95
"epoch with event 800,801,802","{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800,801,802], ""start_time"": -0.5, ""end_time"": 3}}}","[{'command': 'Time Epoch', 'parameters': {'end_time': 3, 'event': [800, 801, 802], 'start_time': -0.5}}]",1.44
"epoch with event 600, 700, 801","{{""command"": ""Time Epoch"", ""parameters"": {""event"": [600, 700, 801], ""start_time"": -0.5, ""end_time"": 3}}}","[{'command': 'Time Epoch', 'parameters': {'event': [600, 700, 801]}}]",1.12
"epoch with event 800,801,802, 803, 804","{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800,801,802, 803, 804], ""start_time"": -0.5, ""end_time"": 3}}}","[{'command': 'Resample', 'parameters': {'frequency': 125}}]",5.00
epoch with event 800,"{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800], ""start_time"": -0.5, ""end_time"": 3}}}","[{'command': 'Time Epoch', 'parameters': {'end_time': 3, 'event': [800], 'start_time': -0.5}}]",1.30
"epoch with event 800,801,802 with start time of -1","{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800,801,802], ""start_time"": -1, ""end_time"": 3}}}","[{'command': 'Time Epoch', 'parameters': {'event': [800, 801, 802], 'start_time': -1}}]",1.33
"epoch with event 800,801,802 with time -1 to 5","{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800,801,802], ""start_time"": -1, ""end_time"": 5}}}","[{'command': 'Time Epoch', 'parameters': {'end_time': 5, 'event': [800, 801, 802], 'start_time': -1}}]",1.62
epoch with event 800 with start time 1sec prior of event to 3sec after,"{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800], ""start_time"": -1, ""end_time"": 3}}}","[{'command': 'Time Epoch', 'parameters': {'end_time': 3, 'event': [800, 801, 802], 'start_time': 1}}]",1.48
epoch with event 800 with start time 0.5sec prior of event to 3sec after,"{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800], ""start_time"": -0.5, ""end_time"": 3}}}","[{'command': 'Time Epoch', 'parameters': {'end_time': 3, 'event': [800, 801, 802], 'start_time': 0.5}}]",1.80
"epoch with event 800,801,802 and do baseline removal","{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800,801,802], ""start_time"": -0.5, ""end_time"": 3, ""baseline_tmin"": -0.5, ""baseline_tmax"": 3, ""doRemoval""： True}}}",[],13.82
epoch with event 800 and do baseline removal,"{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800], ""start_time"": -0.5, ""end_time"": 3, ""baseline_tmin"": -0.5, ""baseline_tmax"": 3, ""doRemoval""： True}}}","[{'command': 'Time Epoch', 'parameters': {'end_time': 3, 'event': [800], 'start_time': -0.5}}]",4.08
