User Input,Mapped Function,Model Output,Latency (s)
Load EEG data from file,load data,"[[{'command': 'Load Data', 'parameters': {'path': 'path/to/data.csv'}}], [{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}, {'command': 'Resample', 'parameters': {'frequency': 125}}, {'command': 'Normalize', 'parameters': {'method': 'z score'}}]]",2.17
I want to load data ,load data,[{'command': 'Import Data'}],0.14
Can you load data?,load data,[{'command': 'Import Data'}],0.13
Help me load data,load data,[{'command': 'Import Data'}],0.14
import data for me,load data,[{'command': 'Import Data'}],0.12
I want to import data,load data,[{'command': 'Import Data'}],0.13
data load,load data,[{'command': 'Import Data'}],0.13
load data,load data,[{'command': 'Import Data'}],0.15
import data,load data,[{'command': 'Import Data'}],0.11
load new data for analysis,load data,[{'command': 'Import Data'}],0.13
filter the data,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 50}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}]",1.29
apply filter to the data,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 50}}","[{'command': 'Filtering', 'parameters': {'h_freq': 48, 'l_freq': 1}}]",6.32
apply band-pass filter to the data,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 50}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}]",1.26
filter the data within 5hz to 40hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 5, ""h_freq"": 40}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40, 'l_freq': 5}}]",1.13
apply filter with low cutoff frequency of 5,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 5, ""h_freq"": 50}}","[{'command': 'Filtering', 'parameters': {'h_freq': 45, 'l_freq': 5}}]",1.25
apply filter with high cutoff of 45hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 45}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40, 'l_freq': 1}}]",3.17
Apply a low-pass filter at 40 Hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 40}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40, 'l_freq': 1}}]",1.86
Apply a high-pass filter at 0.5 Hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 45}}","[{'command': 'Filtering', 'parameters': {'h_freq': 45, 'l_freq': 0.5}}]",1.22
Perform a bandpass filter from 0.1 Hz to 45 Hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.1, ""h_freq"": 45}}","[{'command': 'Filtering', 'parameters': {'h_freq': 45, 'l_freq': 0.1}}]",1.33
Apply a bandpass filter from 1 to 40 Hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 40}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40, 'l_freq': 1}}]",1.41
Normalize the data,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'command': 'Normalize', 'parameters': {'method': 'z score'}}]",0.95
normalize the data with z-score method,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'command': 'Normalize', 'parameters': {'method': 'z score'}}]",0.88
normalize the data with min max method,"{""command"": ""Normalize"", ""parameters"": {""method"": ""min max""}}","[{'command': 'Normalize', 'parameters': {'method': 'min max'}}]",0.91
apply normalization to the data,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'command': 'Normalize', 'parameters': {'method': 'z score'}}]",1.16
can you normalize the data?,"{""command"": ""Normalize"", ""parameters"": {""method"": ""min max""}}","[{'text': 'Sure, you can normalize the data using various methods. One of the most commonly used feature scaling methods is normalization. Normalization involves scaling the features to have zero mean and unit variance. This helps to reduce the impact of different units of measurement and improve the performance of machine learning models.'}]",0.69
apply normalization to the data,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'command': 'Normalize', 'parameters': {'method': 'z score'}}]",1.07
Normalize the data using z-score,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'command': 'Normalize', 'parameters': {'method': 'z score'}}]",0.94
Perform min-max normalization,"{""command"": ""Normalize"", ""parameters"": {""method"": ""min max""}}","[{'command': 'Normalize', 'parameters': {'method': 'min max'}}]",1.07
normalize the data please,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'text': 'Sure, the data can be normalized by subtracting the mean and dividing by the standard deviation of each feature. This will help to reduce the variability of the features and improve the performance of the machine learning models.'}]",0.60
I want to normalize the data,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'command': 'Normalize', 'parameters': {'method': 'z score'}}]",0.92
resample the data to 125hz,"{""command"": ""Resample"", ""parameters"": {""frequency"": 125}}","[{'command': 'Resample', 'parameters': {'frequency': 125}}]",1.40
resample the data to 250hz,"{""command"": ""Resample"", ""parameters"": {""frequency"": 250}}","[{'command': 'Resample', 'parameters': {'frequency': 250}}]",1.01
Downsample the data to 128 Hz,"{""command"": ""Resample"", ""parameters"": {""frequency"": 128}}","[{'command': 'Resample', 'parameters': {'frequency': 128}}]",1.01
resample the data to 125,"{""command"": ""Resample"", ""parameters"": {""frequency"": 125}}","[{'command': 'Resample', 'parameters': {'frequency': 125}}]",0.92
resample the data to 250,"{""command"": ""Resample"", ""parameters"": {""frequency"": 250}}","[{'command': 'Resample', 'parameters': {'frequency': 250}}]",0.93
Downsample the data to 100,"{""command"": ""Resample"", ""parameters"": {""frequency"": 100}}",[],20.16
apply resampling to 128,"{""command"": ""Resample"", ""parameters"": {""frequency"": 128}}",[{'text': '128 is the recommended sampling rate for the pre-processing of the EEG data.'}],0.32
resample the data to 500hz please,"{""command"": ""Resample"", ""parameters"": {""frequency"": 500}}","[{'command': 'Resample', 'parameters': {'frequency': 500}}]",1.00
I want to resample the data to 256hz,"{""command"": ""Resample"", ""parameters"": {""frequency"": 256}}","[{'command': 'Resample', 'parameters': {'frequency': 256}}]",0.93
can you downsample the data to 200hz?,"{""command"": ""Resample"", ""parameters"": {""frequency"": 200}}","[{'command': 'Resample', 'parameters': {'frequency': 200}}]",4.80
