User Input,Mapped Function,Model Output,Latency (s)
I want to epoch the data.,"{""text"": ""Which event do you want to use for epoching?""}","[{'text': ""I'm afraid I can't perform time epoch without event number, please provide more information.""}]",1.51
Epoch it,"{""text"": ""What event should be used to create epochs?""}","[{'text': ""I'm afraid I can't perform time epoch without event number, please provide more information.""}]",1.48
Can you segment the data into trials?,"{""text"": ""Which event label should I use to create the epochs?""}","[{'text': 'Yes, you can segment the data into trials by dividing it into distinct epochs based on the event related to the EEG data. Each trial will represent a continuous sequence of data points corresponding to a specific event or condition.'}]",0.58
I'd like to split the data into epochs.,"{""text"": ""Please specify the event you want to use for epoching.""}",[{'text': 'Please specify the event you want to use for epoching.'}],0.91
Do epoching please,"{""text"": ""What event do you want to epoch the data on?""}","[{'text': 'Sure, you can perform epoching before training. Epoching involves dividing the continuous EEG data into smaller segments called epochs. Each epoch is then analyzed independently and used to train a model.'}]",0.51
Can you do epoch segmentation,"{""text"": ""Which event should the data be segmented by?""}","[{'text': 'Yes, this software allows you to segment continuous EEG data into epochs for training and validation purposes. This can be done by specifying the start and end time of the epoch in the data.'}]",0.60
Cut EEG into trials,"{""text"": ""Which event should I use to define the trials?""}","[{'text': 'Sure, you can use this software to split the EEG data into training and testing sets. The number of trials can be set by the user.'}]",0.40
Epoch the signal for me.,"{""text"": ""Please provide the event to use for epoching.""}","[{'command': 'Time Epoch', 'parameters': {'end_time': 3, 'event': [100, 200, 300], 'start_time': -0.5}}]",1.78
Let's do event-based segmentation.,"{""text"": ""Which event would you like to segment by?""}","[{'command': '3D Saliency plot', 'parameters': {'event': 'LH'}}]",1.01
Divide the data into time windows.,"{""text"": ""Are you referring to epochs? If so, which event should be used?""}","[{'command': 'Resample', 'parameters': {'frequency': 125}}]",3.08
Can I see the performance?,"{""text"": ""Do you want to see accuracy, AUC, or kappa value?""}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}]",1.09
I want to know how the model did.,"{""text"": ""Would you like a confusion matrix or a performance table?""}",[],22.31
Show me the evaluation result.,"{""text"": ""Do you want to see the confusion matrix or performance table?""}",[],20.21
Evaluate the model for me.,"{""text"": ""Which evaluation would you like? (e.g., accuracy, confusion matrix, AUC)""}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}]",2.26
How did the training go?,"{""text"": ""Would you like to see accuracy, AUC, or the confusion matrix?""}","[{'command': 'Training Manager', 'parameters': {'accuracy': 0.8, 'auc': 0.9, 'kappa': 0.8, 'loss': 0.001}}]",1.33
Can I get a summary of results?,"{""text"": ""Do you mean a performance table, confusion matrix, or something else?""}","[{'text': ""Sure, here's a summary of the results:""}]",2.35
Give me model output.,"{""text"": ""Do you want to export the model output or view evaluation metrics?""}","[{'command': 'Export Model', 'parameters': {'type': 'Accuracy (%)'}}]",2.15
Check the result,"{""text"": ""Would you like to see accuracy, AUC, or the confusion matrix?""}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}]",0.83
I want to see how it performs,"{""text"": ""Do you mean performance table or confusion matrix?""}","[{'command': 'Training Manager', 'parameters': {'plot': 'accuracy'}}]",1.26
Can you show test results?,"{""text"": ""Should I show a performance table or confusion matrix?""}",[],20.21
Can I see the visualization results?,"{""text"": ""Which plot do you want to see? Saliency map or saliency topographic map?""}","[{'command': 'Clean plots', 'parameters': {}}]",4.07
I want to see a plot.,"{""text"": ""Which plot do you want to see? Can you be more specific?""}",[{'text': '3D saliency plot of the brain showing the areas with higher saliency values.'}],0.25
Show me the visualization,"{""text"": ""What kind of visualization do you want to see? (e.g., saliency map, spectrogram, model summary)""}","[{'command': '3D Saliency plot', 'parameters': {'event': 'LH'}}]",0.59
Can you display something 3D?,"{""text"": ""Do you want to see a 3D saliency plot? If so, for which event?""}",[{'text': '3D visualization is not included in the software capabilities.'}],0.21
I want to see event visualization.,"{""text"": ""Would you like a 3D saliency plot or another type of visualization?""}","[{'command': 'Time Epoch', 'parameters': {'event': [1, 2]}}]",1.18
Visualize the data.,"{""text"": ""Which type of visualization do you want? (e.g., saliency map, spectrogram)""}","[{'command': 'clean plots', 'parameters': {}}]",1.09
Give me saliency of one class.,"{""text"": ""Which saliency plot and event do you want to visualize?""}",[{'text': '...'}],1.23
I want to see model visualization.,"{""text"": ""Do you want to see the model summary or a saliency plot?""}","[{'command': 'Model Summary', 'parameters': {'model_type': 'Model Summary'}}]",1.14
Can I see activity over time?,"{""text"": ""Would you like to see a saliency spectrogram?""}","[{'text': 'Sure, the software allows you to visualize activity over time through various tools such as saliency maps, saliency topographic maps, spectrograms, 3D saliency plots, and model summaries. These tools help you to understand how the EEG signals change over time and identify different brain activity patterns.'}]",0.65
Plot brain activity.,"{""text"": ""Do you want a saliency map, topographic map, or 3D saliency plot? If 3D, which event?""}","[[{'command': 'clean plots', 'parameters': {}}], [{'command': '3D Saliency plot', 'parameters': {'event': 'LH'}}]]",0.91
